rank	support	file	pattern
80	43	080_kyfunc_l34_amb_l34_ruf_l12.txt	KYFUNC_L34 AMB_L34 RUF_L12
81	42	081_ky_l9p_kyfunc_l56.txt	KY_L9P KYFUNC_L56
82	41	082_kyfunc_l56_alt.txt	KYFUNC_L56 ALT=или
83	40	083_ky_l56_kyfunc_l34_ruf_l12.txt	KY_L56 KYFUNC_L34 RUF_L12
84	40	084_kyfunc_l56_ky_l78.txt	KYFUNC_L56 KY_L78
85	40	085_ky_l56_kyfunc_l12.txt	KY_L56 KYFUNC_L12
86	38	086_ruf_l12_tozhe_comma_ruf_wl_dot.txt	RUF_L12 TOZHE=же COMMA RUF=что WL DOT
87	39	087_ky_l9p_kyfunc_l34.txt	KY_L9P KYFUNC_L34
88	38	088_kyfunc_l34_ruf_l12_amb_l34_ruf_l34.txt	KYFUNC_L34 RUF_L12 AMB_L34 RUF_L34
89	38	089_kyfunc_l56_ruf_l12_ru_l56.txt	KYFUNC_L56 RUF_L12 RU_L56
90	36	090_dot_ruf_l12_tozhe_comma_ruf_wl.txt	DOT RUF_L12 TOZHE=же COMMA RUF=что WL
91	37	091_amb_l56_hyph_alt.txt	AMB_L56 HYPH ALT=или
92	37	092_hyph_alt_amb_l56.txt	HYPH ALT=или AMB_L56
93	37	093_alt_ruf_l34.txt	ALT=или RUF_L34
94	37	094_ruf_l12_wl.txt	RUF_L12 WL
95	36	095_amb_l34_kyfunc_l34_ruf_l34.txt	AMB_L34 KYFUNC_L34 RUF_L34
96	36	096_kyfunc_l34_ru_l56.txt	KYFUNC_L34 RU_L56
97	35	097_xref_dot_wl_semi.txt	XREF=см DOT WL SEMI
98	35	098_kyfunc_l34_ruf_l12_amb_l78.txt	KYFUNC_L34 RUF_L12 AMB_L78
99	35	099_kyfunc_l56_ky_l34.txt	KYFUNC_L56 KY_L34
100	34	100_ky_l56_sfx_kyfunc_l56_ruf_l12.txt	KY_L56_SFX=ип KYFUNC_L56 RUF_L12
101	34	101_alt_amb_l56_hyph_amb_l56.txt	ALT=или AMB_L56 HYPH AMB_L56
102	34	102_kyfunc_l56_ky_l56.txt	KYFUNC_L56 KY_L56
103	34	103_kyfunc_l56_ru_l78.txt	KYFUNC_L56 RU_L78
104	34	104_ky_l78_alt.txt	KY_L78 ALT=или
105	32	105_kyfunc_l56_sfx_kyfunc_l56_ruf_l12.txt	KYFUNC_L56_SFX=уп KYFUNC_L56 RUF_L12
106	33	106_amb_l56_ky_l56_sfx_kyfunc_l56.txt	AMB_L56 KY_L56_SFX=ып KYFUNC_L56
107	33	107_dot_ruf_l12_wl.txt	DOT RUF_L12 WL
108	33	108_kyfunc_l56_amb_l78_ruf_l12.txt	KYFUNC_L56 AMB_L78 RUF_L12
109	33	109_ky_l34_kyfunc_l12.txt	KY_L34 KYFUNC_L12
110	33	110_ky_l78_sfx_kyfunc_l56.txt	KY_L78_SFX=үп KYFUNC_L56
111	32	111_semi_xref_dot_wl.txt	SEMI XREF=см DOT WL
112	32	112_kyfunc_l56_ru_l9p.txt	KYFUNC_L56 RU_L9P
113	32	113_ky_l56_kyfunc_l56_sfx.txt	KY_L56 KYFUNC_L56_SFX=ган
114	31	114_amb_l34_kyfunc_l34_ruf_l12_ruf_l34.txt	AMB_L34 KYFUNC_L34 RUF_L12 RUF_L34
115	30	115_dot_xref_dot_wl.txt	DOT XREF=см DOT WL
116	30	116_kyfunc_l34_kyfunc_l56.txt	KYFUNC_L34 KYFUNC_L56
117	30	117_amb_l56_alt_amb_l56_hyph.txt	AMB_L56 ALT=или AMB_L56 HYPH
118	30	118_amb_l56_alt_ky_l34.txt	AMB_L56 ALT=или KY_L34
119	30	119_ruf_l12_amb_l34_tozhe.txt	RUF_L12 AMB_L34 TOZHE=же
120	30	120_ky_l78_sfx_kyfunc_l56.txt	KY_L78_SFX=уп KYFUNC_L56
121	29	121_kyfunc_l12_kyfunc_l34.txt	KYFUNC_L12 KYFUNC_L34
122	29	122_kyfunc_l34_comma_ky_l56.txt	KYFUNC_L34 COMMA KY_L56
123	29	123_kyfunc_l56_ruf_l34_amb_l56.txt	KYFUNC_L56 RUF_L34 AMB_L56
